,coachID,year,teamID,leagueID,stint,won,lost,post_wins,post_losses
0,johnsne01,1961,PGR,ABL1,1,41.0,40.0,0.0,1.0
1,auerbre01,1946,WSC,NBA,1,49.0,11.0,2.0,4.0
2,birchpa01,1946,PIT,NBA,1,15.0,45.0,0.0,0.0
3,cliffro01,1946,CLR,NBA,2,13.0,10.0,1.0,2.0
4,cohalne01,1946,NYK,NBA,1,33.0,27.0,2.0,3.0
5,curtigl01,1946,DTF,NBA,1,12.0,22.0,0.0,0.0
6,dehnere01,1946,CLR,NBA,1,17.0,20.0,0.0,0.0
7,fitzgdi01,1946,TRH,NBA,1,2.0,1.0,0.0,0.0
8,gottled01,1946,PHW,NBA,1,35.0,25.0,8.0,2.0
9,haymale01,1946,TRH,NBA,3,0.0,1.0,0.0,0.0
10,loeffke01,1946,STB,NBA,1,38.0,23.0,1.0,2.0
11,morriro01,1946,PRO,NBA,1,28.0,32.0,0.0,0.0
12,olsenha01,1946,CHS,NBA,1,39.0,22.0,5.0,6.0
13,rolfero01,1946,TRH,NBA,4,17.0,27.0,0.0,0.0
14,russejo01,1946,BOS,NBA,1,22.0,38.0,0.0,0.0
15,sachsph01,1946,DTF,NBA,2,8.0,18.0,0.0,0.0
16,sadowed01,1946,TRH,NBA,2,3.0,9.0,0.0,0.0
17,auerbre01,1947,WSC,NBA,1,28.0,20.0,0.0,0.0
18,gottled01,1947,PHW,NBA,1,27.0,21.0,6.0,7.0
19,hickena01,1947,PRO,NBA,1,4.0,25.0,0.0,0.0
20,jeannbu01,1947,BLB,NBA,1,28.0,20.0,8.0,3.0
21,lapchjo01,1947,NYK,NBA,1,26.0,22.0,1.0,2.0
22,loeffke01,1947,STB,NBA,1,29.0,19.0,3.0,4.0
23,olsenha01,1947,CHS,NBA,1,28.0,20.0,2.0,3.0
24,russejo01,1947,BOS,NBA,1,20.0,28.0,1.0,2.0
25,soaral01,1947,PRO,NBA,2,2.0,17.0,0.0,0.0
26,armstcu01,1948,FTW,NBA,2,22.0,32.0,0.0,0.0
27,auerbre01,1948,WSC,NBA,1,38.0,22.0,6.0,5.0
28,benneca01,1948,FTW,NBA,1,0.0,6.0,0.0,0.0
29,brownph01,1948,CHS,NBA,2,10.0,1.0,0.0,0.0
30,friddbu01,1948,INJ,NBA,2,14.0,29.0,0.0,0.0
31,gottled01,1948,PHW,NBA,1,28.0,32.0,0.0,2.0
32,halebr01,1948,INJ,NBA,1,4.0,13.0,0.0,0.0
33,harrile01,1948,ROC,NBA,1,45.0,15.0,2.0,2.0
34,jeannbu01,1948,BLB,NBA,1,29.0,31.0,1.0,2.0
35,juliaal01,1948,BOS,NBA,1,25.0,35.0,0.0,0.0
36,kundljo01,1948,MNL,NBA,1,44.0,16.0,8.0,2.0
37,lapchjo01,1948,NYK,NBA,1,32.0,28.0,3.0,3.0
38,lewisgr01,1948,STB,NBA,1,29.0,31.0,0.0,2.0
39,loeffke01,1948,PRO,NBA,1,12.0,48.0,0.0,0.0
40,olsenha01,1948,CHS,NBA,1,28.0,21.0,0.0,2.0
41,auerbre01,1949,TRI,NBA,2,28.0,29.0,1.0,2.0
42,barkecl01,1949,INO,NBA,1,39.0,25.0,3.0,3.0
43,brownph01,1949,CHS,NBA,1,40.0,28.0,0.0,2.0
44,cervial01,1949,SYR,NBA,1,51.0,13.0,6.0,5.0
45,dardeji01,1949,DNN,NBA,1,11.0,51.0,0.0,0.0
46,duffeik01,1949,AND,NBA,2,1.0,2.0,0.0,0.0
47,feeribo01,1949,WSC,NBA,1,32.0,36.0,0.0,2.0
48,gottled01,1949,PHW,NBA,1,26.0,42.0,0.0,2.0
49,harrile01,1949,ROC,NBA,1,51.0,17.0,0.0,2.0
50,jeannbu01,1949,BLB,NBA,1,25.0,43.0,0.0,0.0
51,juliaal01,1949,BOS,NBA,1,22.0,46.0,0.0,0.0
52,kundljo01,1949,MNL,NBA,1,51.0,17.0,10.0,2.0
53,lapchjo01,1949,NYK,NBA,1,40.0,28.0,3.0,2.0
54,lewisgr01,1949,STB,NBA,1,26.0,42.0,0.0,0.0
55,mendemu01,1949,FTW,NBA,1,40.0,28.0,2.0,2.0
56,mooredo01,1949,AND,NBA,3,15.0,11.0,4.0,4.0
57,pottero01,1949,TRI,NBA,1,1.0,6.0,0.0,0.0
58,schulho01,1949,AND,NBA,1,21.0,14.0,0.0,0.0
59,shippch01,1949,WAT,NBA,1,8.0,27.0,0.0,0.0
60,smileja01,1949,WAT,NBA,2,11.0,16.0,0.0,0.0
61,sueseke01,1949,SHE,NBA,1,22.0,40.0,1.0,2.0
62,auerbre01,1950,BOS,NBA,1,39.0,30.0,0.0,2.0
63,barkecl01,1950,INO,NBA,1,24.0,32.0,0.0,0.0
64,budkowa01,1950,BLB,NBA,2,10.0,19.0,0.0,0.0
65,cervial01,1950,SYR,NBA,1,32.0,34.0,4.0,3.0
66,gottled01,1950,PHW,NBA,1,40.0,26.0,0.0,2.0
67,harrile01,1950,ROC,NBA,1,41.0,27.0,9.0,5.0
68,jeannbu01,1950,BLB,NBA,1,14.0,23.0,0.0,0.0
69,joneswa03,1950,INO,NBA,2,7.0,5.0,1.0,2.0
70,kundljo01,1950,MNL,NBA,1,44.0,24.0,3.0,4.0
71,lapchjo01,1950,NYK,NBA,1,36.0,30.0,8.0,6.0
72,loganjo01,1950,TRI,NBA,2,2.0,1.0,0.0,0.0
73,mckinbo01,1950,WSC,NBA,1,10.0,25.0,0.0,0.0
74,mcmilda01,1950,TRI,NBA,1,9.0,14.0,0.0,0.0
75,mendemu01,1950,FTW,NBA,1,32.0,36.0,1.0,2.0
76,todormi01,1950,TRI,NBA,3,14.0,28.0,0.0,0.0
77,auerbre01,1951,BOS,NBA,1,39.0,27.0,1.0,2.0
78,birchpa01,1951,FTW,NBA,1,29.0,37.0,0.0,2.0
79,cervial01,1951,SYR,NBA,1,40.0,26.0,3.0,4.0
80,gottled01,1951,PHW,NBA,1,33.0,33.0,1.0,2.0
81,harrile01,1951,ROC,NBA,1,41.0,25.0,3.0,3.0
82,kundljo01,1951,MNL,NBA,1,40.0,26.0,9.0,4.0
83,lapchjo01,1951,NYK,NBA,1,37.0,29.0,8.0,6.0
84,mooredo01,1951,MLH,NBA,1,17.0,49.0,0.0,0.0
85,reisech01,1951,BLB,NBA,2,8.0,19.0,0.0,0.0
86,schaehe01,1951,INO,NBA,1,34.0,32.0,0.0,2.0
87,scolafr01,1951,BLB,NBA,1,12.0,27.0,0.0,0.0
88,auerbre01,1952,BOS,NBA,1,46.0,25.0,3.0,3.0
89,beecl01,1952,BLB,NBA,2,16.0,51.0,0.0,2.0
90,birchpa01,1952,FTW,NBA,1,36.0,33.0,4.0,4.0
91,cervial01,1952,SYR,NBA,1,47.0,24.0,0.0,2.0
92,gottled01,1952,PHW,NBA,1,12.0,57.0,0.0,0.0
93,harrile01,1952,ROC,NBA,1,44.0,26.0,1.0,2.0
94,kundljo01,1952,MNL,NBA,1,48.0,22.0,9.0,3.0
95,lapchjo01,1952,NYK,NBA,1,47.0,23.0,6.0,5.0
96,levanan01,1952,MLH,NBA,1,27.0,44.0,0.0,0.0
97,reisech01,1952,BLB,NBA,1,0.0,3.0,0.0,0.0
98,schaehe01,1952,INO,NBA,1,28.0,43.0,0.0,2.0
99,auerbre01,1953,BOS,NBA,1,42.0,30.0,2.0,4.0
100,beecl01,1953,BLB,NBA,1,16.0,56.0,0.0,0.0
101,birchpa01,1953,FTW,NBA,1,40.0,32.0,0.0,4.0
102,cervial01,1953,SYR,NBA,1,42.0,30.0,9.0,4.0
103,gottled01,1953,PHW,NBA,1,29.0,43.0,0.0,0.0
104,harrile01,1953,ROC,NBA,1,44.0,28.0,3.0,3.0
105,holzmre01,1953,MLH,NBA,2,10.0,16.0,0.0,0.0
106,kundljo01,1953,MNL,NBA,1,46.0,26.0,9.0,4.0
107,lapchjo01,1953,NYK,NBA,1,44.0,28.0,0.0,4.0
108,levanan01,1953,MLH,NBA,1,11.0,35.0,0.0,0.0
109,auerbre01,1954,BOS,NBA,1,36.0,36.0,3.0,4.0
110,cervial01,1954,SYR,NBA,1,43.0,29.0,7.0,4.0
111,eckmach01,1954,FTW,NBA,1,43.0,29.0,6.0,5.0
112,gottled01,1954,PHW,NBA,1,33.0,39.0,0.0,0.0
